docId,url
0,encs.concordia.ca/electrical-computer/about.html
1,encs.concordia.ca/electrical-computer/contact.html
2,encs.concordia.ca/electrical-computer/facilities-services.html
3,encs.concordia.ca/electrical-computer/news.html
4,encs.concordia.ca/electrical-computer/programs.html
5,encs.concordia.ca/electrical-computer/research.html
6,encs.concordia.ca/electrical-computer/students.html
7,encs.concordia.ca/electrical-computer\about/faculty.html
8,encs.concordia.ca/electrical-computer\about/job-opportunities.html
9,encs.concordia.ca/electrical-computer\about/staff.html
10,encs.concordia.ca/electrical-computer\facilities-services/computer-facilities.html
11,encs.concordia.ca/electrical-computer\facilities-services/dept-calendar.html
12,encs.concordia.ca/electrical-computer\facilities-services/teaching-labs.html
13,encs.concordia.ca/electrical-computer\facilities-services/utilities-tools.html
14,encs.concordia.ca/electrical-computer\programs/beng-computer-engineering.html
15,encs.concordia.ca/electrical-computer\programs/beng-electrical-engineering.html
16,encs.concordia.ca/electrical-computer\programs/co-op.html
17,encs.concordia.ca/electrical-computer\programs/masc-computer-engineering.html
18,encs.concordia.ca/electrical-computer\programs/meng-electrical-computer-engineering.html
19,encs.concordia.ca/electrical-computer\programs/phd-electrical-computer-engineering.html
20,encs.concordia.ca/electrical-computer\research/areas.html
21,encs.concordia.ca/electrical-computer\research/professional-activities.html
22,encs.concordia.ca/electrical-computer\research/recent-publications.html
23,encs.concordia.ca/electrical-computer\research/recent-theses.html
24,encs.concordia.ca/electrical-computer\research/researchers.html
25,encs.concordia.ca/electrical-computer\students/capstone.html
