reut2-005.sgm, PLM &lt;PLMA> UNIT ENDS MERGER TALKS, PLM Cos Inc said its PLM Power Counit broke off merger discussions with Sunlaw Energy Corp ofBeverly Hills, Calif.    In January PLM Power entered into a letter of intent tonegotiate a potential acquisition of Sunlaw, subject tosubstantial due diligence, the company said.    But it also said the two companies were not able to agreeon mutually satisfactory final terms and conditions. Reuter&#3;
reut2-005.sgm, COLOMBIA OPENS APRIL/MAY COFFEE REGISTRATIONS, Colombia opened coffee exportregistrations for April and May with the National CoffeeGrowers' Federation setting no limit, Gilberto Arango,president of the private exporters' association, said.    He told Reuters the decision not to put any limit respondedto "new factors" which have emerged from recent InternationalCoffee Organisation talks in London, where producers andconsumers failed to agree on a re-introduction of export quotas. Reuter&#3;
reut2-005.sgm, USDA REPORTS 10.572 MLN ACRES IN CONSERVATION, The U.S. Agriculture Department hasaccepted 10,572,402 more acres of highly erodable cropland intothe Conservation Reserve Program, USDA announced.    In the latest signup, farmers on 101,020 farms submittedbids on a total of 11,254,837 acres.    The accepted bids for annual rental payments ranged up to90 dlrs per acre with an average of 51.17 dlrs per acre.    Land entered into the Conservation Reserve Program will beineligible for farming for ten years and must be planted withpermanent vegetative cover.    Producers enrolled 1,894,764 acres of corn base acreage inthe conservation program to take advantage of a corn "bonus"rental payment that was offered by USDA.    The corn bonus, to be paid in generic comoditycertificates, amounts to two dlrs per bushel, based on the ASCSprogram payment yield for corn, for each acre of corn basedaccepted into the reserve.    The state showing the biggest enrollment in theconservation program during this signup was Texas withapproximately 1.225 mln acres, followed by Iowa with 1.030 mlnacres, Minnesota with 890,000 acres, Montana 875,000 acres, andKansas with 842,000 acres.    Other states showing big enrollment were Missouri with646,000 acres, North Dakota with 588,000 acres, and Nebraskawith 554,000 acres.    In the corn belt states of Illinois and Indiana, 217,000acres and 116,000 acres respectively were enrolled.    Farm land signed up to date in the conservation programtotals 19,488,587 acres. Bids on the previous signups ranged upto 90 dlrs per acre with an average of 45.52 dlrs. Reuter&#3;
reut2-005.sgm, BRAZIL DEBT POSES THORNY ISSUE FOR U.S. BANKS, CitiCorp &lt;CCI> appears to be diggingin its heels for tough negotiations over the billions ofdollars in loans that Brazil owes to money center banks, WallStreet analysts said.    "I view it as pre-negotiation posturing," said analystCarole Berger of Cyrus J. Lawrence Inc, referring to bothBrazil and Citicorp. Brazil recently stopped paying interest onits commercial bank debt. Today, CitiCorp said its firstquarter income would be reduced by 50 mln dlrs after tax if itlists the loans as non-performing status.    Citicorp filed an 8-K form with the Securities and ExchangeCommission, indicating a material change in its financialsituation. "Citicorp is saying you can't scare us with threats,we'll make your loans non-performing right now," Berger said.    The loans have to be treated as non-performing after 90days without a payment. CitiCorp said only that the situationwill be reviewed at the end of the current quarter.    Berger asserted that Brazil is doing its own politicking bytalking to U.S. regulators and trying to drive a wedge betweenU.S. and European banks.    Analyst Lawrence Cohn of Merrill Lynch and Co said it isunlikely the situation will be resolved until the second halfof this year.    "Ultimately the Brazilians are going to have to pay up onall the interest they owe," Cohn said. "The real issue is therescheduling of debt terms.    Another question is whether or not the InternationalMonetary Fund can help Brazil with a new austerity program.    Stocks of money center banks were mostly down fractions inlate dealings. One trader most stocks in the group bounced offtheir lows by midday as investors took the news in stride.    Cohn said the bank stocks may be risky until numbers onnon-performing loans are reported for each bank. But he saidinvestors looking ahead six to 12 months might want to buy atpresent levels for the "tremendous fundamental values" in thegroup.    Analyst Robert Gordon of Shearson Lehman Brothers Inc saidManufacturers Hanover Corp &lt;MHC) has the greatest exposure toBrazilian loans of any New York bank, in terms of percentage ofearnings. He said his only two recommendations currently amongNew York banks are J.P. Morgan and Co &lt;JPM> and Bankers TrustCo &lt;BT> which happen to have the least exposure.    Gordon said his positive opinion on J.P. Morgan and BankersTrust was not merely a response to the fact that the two havelower exposure to Brazilian loans than other banks.     In fact he said there's a chance those banks could get moreinvolved in the future. He noted that Morgan has already set upa brokerage subsidiary to deal in loans to less developedcountries.    "I don't see any reason to change full year earningsestimates, said Frederick Meinke, analyst at E.F. Hutton Co. Hethinks the confrontation with Brazil could end in a replay of asituation that occurred with Argentina in 1984 and 1985.    Meinke noted that in the case of Argentina the loans becamenon-accruing for a couple of quarters but then when the bankscame to an agreement with Argentina all the back interest waspaid. "What it did was distort the quarterly earnings pattern,"he said.    He said in the case of Brazil write-offs of loans is aworst-case outcome which is highly unlikely. He noted thatBrazil is a country with a diversified economy, going throughsome economic upheaval after the transition from a military toa civilian government.    "The countries of Latin America have too much debt relativeto their ability to service it," said John Mason ofInterstate Securities. "We've been fiddling around with theseproblems for five years and the hour is growing late."    He said up to now the banks have reduced their spreads, cutinterest rates internally and extended maturities and none ofthese measures has been enough. He expects re-classification ofas much as a third of the loans as non-accruing and he seespartial write downs of some loans.    Nevertheless Mason thinks the money center bank stocks could be poised for a short term rally.    A spokesman at First Chicago Corp &lt;FNB> said it ispremature to put Brazil's loans on a cash basis. "It is ourexpectation that economic development will allow Brazil to meetits debt," a spokesman said.    Bankers Trust in New York said it would be premature tomake a decision. Several other banks queried by Reuters saidmuch the same thing.    A spokesman at Manufacturers Hanover noted that of 2.3billion dlrs in loan exposure to Brazil only 1.3 billion issubject to Brazil's unilateral moratorium on repayment ofinterest.    Reuter&#3;
reut2-005.sgm, ROCKWELL &lt;ROK> TO REPURCHASE MORE COMMON SHARES, Rockwell International Corp said itsboard has authorized extension of the company's 500 mln dlrstock repurchase program by an additional 500 mln dlrs.    Since the beginning of the present repurchase program inMarch 1986, Rockwell said, it has bought 10.4 mln shares for461 mln dlrs. At present prices, it said, the program wouldreduce the presently outstanding 140 mln common shares by aboutseven pct. Since November 1983, the company has repurchased18.1 mln shares for 672 mln dlrs, it said.    Rockwell said the stock will be repurchased through openmarket and private transactions.    Rockwell said the repurchased shares will be available forpotential acquisitions, stock options, employee benefitprograms, conversion of convertible securities and otherpurposes.    The company said, "We continue to view our repurchaseprogram as an integral part of our long term goal of improvingshareholder values."    Rockwell said the program "complements our aggressiveprogram of support for the growth plans of our businesses withcapital investments, product and research developmentresources, and acquisitions in support of our core businesses."   Reuter&#3;
reut2-005.sgm, VOGTLE NUCLEAR PLANT GETS FULL-POWER LICENSE, The Nuclear Regulatory Commissionissued a full-power operating license for Unit 1 of the VogtleElectric Generating Plant, said Southern Co &lt;SO> unit GeorgiaPower, which is a co-owner of the plant.    Georgia Power said the license allows for completion ofpre-operational testing, which will be followed by full-poweroperation. Unit 1 is scheduled to begin commerical operation byJune one, it said.    The other co-owners of the plant are &lt;Olgethorpe Corp>, theMunicpal Electric Authority of Georgia and the city of Dalton. Reuter&#3;
reut2-005.sgm, BRITISH AIRWAYS &lt;BAB> TO FLY TO TOKYO NON-STOP, British Airways said the Britishgovernment reached an agreement on new traffic rights with theJapanese government which clears the way for non-stop flightsbetween London and Tokyo.    The flight is scheduled to cut across Siberia, shavingalmost six hours off the previous flight path to 11-1/2 hours,British Airways said.    The trans-Siberian route is subject to approval by theUSSR, British Airways added.    Under the agreement, British Airways said it will continueto leave Heathrow daily, but the new non-stop service willoperate on Thursdays and Saturdays starting early June. Thecompany said return flights will be on Fridays and Sundays. Reuter&#3;
reut2-005.sgm, BRITAIN WANTS BANK REGULATION DEAL WITH JAPAN, Britain wants Japan to agree a timetablefor work towards joint rules on capital adequacy for banksalong the lines of a January outline agreement between the U.Sand the U.K., Corporate Affairs Minister Michael Howard said.    Howard told a Nikkei conference on Tokyo financial markets,"I want to see an agreement between us on what progress is to bemade and the rate at which it will happen."    Japanese vice-minister of finance for international affairsToyoo Gyohten told the conference yesterday he was ready todiscuss capital adequacy, but no negotiations were planned andhe could not see how or when agreement would be reached. Reuter&#3;
reut2-005.sgm, U.S. MEAT GROUP TO FILE TRADE COMPLAINTS, The American Meat Institute, AME,said it intended to ask the U.S. government to retaliateagainst a European Community meat inspection requirement.    AME President C. Manly Molpus also said the industry wouldfile a petition challenging Korea's ban of U.S. meat products.    Molpus told a Senate Agriculture subcommittee that AME andother livestock and farm groups intended to file a petitionunder Section 301 of the General Agreement on Tariffs and Tradeagainst an EC directive that, effective April 30, will requireU.S. meat processing plants to comply fully with EC standards.    The meat industry will seek to have the U.S. governmentretaliate against EC and Korean exports if their complaints areupheld. Reuter&#3;
reut2-005.sgm, COMMERCE BANCORP &lt;COBA> FILES FOR OFFERING, Commerce Bancorp Inc said ithas filed a registration statement with the Securities andExchange Commission for a 575,000 share Series B cumulativepreferred stock offering, including 75,000 shares to coverallotments.    Commerce said it and its banking subsidiaries will use theproceeds to support their planned growth and for generalcorporate purposes.    The bank holding company said each share of preferredstocks initially will be convertible into one share of Commercecommon stock.    Commerce said the preferred shares will be priced at arange of 20-22 dlrs a share, with a proposed sale to the publiccommencing in early-to-mid April.    Commerce said Butcher and Singer Inc will be the offering'smanaging underwriter. Reuter&#3;
