docId,url
0,encs.concordia.ca/bcee/about.html
1,encs.concordia.ca/bcee/contact.html
2,encs.concordia.ca/bcee/facilities-services.html
3,encs.concordia.ca/bcee/news.html
4,encs.concordia.ca/bcee/programs.html
5,encs.concordia.ca/bcee/research.html
6,encs.concordia.ca/bcee/student-life.html
7,encs.concordia.ca/bcee/students.html
8,encs.concordia.ca/bcee\about/faculty.html
9,encs.concordia.ca/bcee\about/jobs.html
10,encs.concordia.ca/bcee\about/staff.html
11,encs.concordia.ca/bcee\facilities-services/lab-safety.html
12,encs.concordia.ca/bcee\facilities-services/research-labs.html
13,encs.concordia.ca/bcee\facilities-services/teaching-labs.html
14,encs.concordia.ca/bcee\news/notices.html.html
15,encs.concordia.ca/bcee\programs/building-engineering.html
16,encs.concordia.ca/bcee\programs/civil-engineering.html
17,encs.concordia.ca/bcee\programs/co-op.html
18,encs.concordia.ca/bcee\programs/environmental-engineering.html
19,encs.concordia.ca/bcee\programs/graduate.html
20,encs.concordia.ca/bcee\programs/undergraduate.html
21,encs.concordia.ca/bcee\research/building-engineering.html
22,encs.concordia.ca/bcee\research/centres.html
23,encs.concordia.ca/bcee\research/civil-engineering.html
24,encs.concordia.ca/bcee\research/environmental-engineering.html
25,encs.concordia.ca/bcee\research/researchers.html
26,encs.concordia.ca/bcee\student-life/associations.html
27,encs.concordia.ca/bcee\student-life/scholarships-awards.html
