docId,url
0,encs.concordia.ca/computer-science-software-engineering/about.html
1,encs.concordia.ca/computer-science-software-engineering/contact.html
2,encs.concordia.ca/computer-science-software-engineering/news.html
3,encs.concordia.ca/computer-science-software-engineering/programs.html
4,encs.concordia.ca/computer-science-software-engineering/research.html
5,encs.concordia.ca/computer-science-software-engineering/services-facilities.html
6,encs.concordia.ca/computer-science-software-engineering/student-life.html
7,encs.concordia.ca/computer-science-software-engineering/students.html
8,encs.concordia.ca/computer-science-software-engineering\about/faculty.html
9,encs.concordia.ca/computer-science-software-engineering\about/jobs.html
10,encs.concordia.ca/computer-science-software-engineering\about/staff.html
11,encs.concordia.ca/computer-science-software-engineering\cuevents\main\2014\11\17/cinema-politica-moug.html
12,encs.concordia.ca/computer-science-software-engineering\cuevents\main\2015\01\31/speculations-risquer-linterpretation.html
13,encs.concordia.ca/computer-science-software-engineering\cunews\encs\computer-science\theses\2014\10\14/master-defense-nitin-prajpani.html
14,encs.concordia.ca/computer-science-software-engineering\cunews\encs\computer-science\theses\2014\10\29/reem-alnanih-thesis-defense.html
15,encs.concordia.ca/computer-science-software-engineering\cunews\encs\computer-science\theses\2014\11\24/puspal-bhabak-thesis-defense.html
16,encs.concordia.ca/computer-science-software-engineering\news/notices.html
17,encs.concordia.ca/computer-science-software-engineering\news/notices.html.html
18,encs.concordia.ca/computer-science-software-engineering\programs/graduate.html
19,encs.concordia.ca/computer-science-software-engineering\programs/undergraduate.html
20,encs.concordia.ca/computer-science-software-engineering\research/centre.html
21,encs.concordia.ca/computer-science-software-engineering\research/grants-funding.html
22,encs.concordia.ca/computer-science-software-engineering\research/groups.html
23,encs.concordia.ca/computer-science-software-engineering\research/industry-sponsors.html
24,encs.concordia.ca/computer-science-software-engineering\research/visiting-researchers.html
25,encs.concordia.ca/computer-science-software-engineering\student-life/student-association.html
